name,x_coordinate,y_coordinate,xy_type,uprn,statusdetail,status,sizecategory,primarytechnology
Moffat Hospital Biomass,309351,605091,From Data Source,,Under Construction,Actual,Small to medium (>45kW and <1MW),Heat Only Boiler
Lethendy Farm Wind Turbine,313841,742405,From Data Source,,Under Construction,Actual,Small to medium (>45kW and <1MW),Wind
Hyndfordwells Farm Wind Turbines,314081,648824,From Data Source,,Under Construction,Actual,Small to medium (>45kW and <1MW),Wind
East Gormack Farm Wind Turbine,315338,746744,From Data Source,,Under Construction,Actual,Small to medium (>45kW and <1MW),Wind
Lower Swiney Wind Turbine,323709,934528,From Data Source,,Under Construction,Actual,Micro (<=45kW),Wind
NE Of West Clyth Farm Wind Turbines,326379,936116,From Data Source,,Under Construction,Actual,Small to medium (>45kW and <1MW),Wind
Kettins Wind Turbine (resubmission),327807,738539,From Data Source,,Under Construction,Actual,Small to medium (>45kW and <1MW),Wind
Ardoch Farm (Mulben),334360,848733,From Data Source,,Under Construction,Actual,Small to medium (>45kW and <1MW),Wind
Haughead,341157,1010538,From Data Source,,Under Construction,Actual,Micro (<=45kW),Wind
Brankanentum Wind Turbine,365596,830369,From Data Source,,Under Construction,Actual,Small to medium (>45kW and <1MW),Wind
Mains Of Whitefield Wind Turbine,366139,853986,From Data Source,,Under Construction,Actual,Small to medium (>45kW and <1MW),Wind
Newmill Farm Wind Turbines,381544,822059,From Data Source,,Under Construction,Actual,Micro (<=45kW),Wind
Logie Wind Turbine,388395,788792.1,From Data Source,,Under Construction,Actual,Small to medium (>45kW and <1MW),Wind
Dumgoyne,252850.7,682680.6,From Data Source,10015408619,Potential,Potential,Unknown,Cooling Towers
Longleys,278324.9,697350.4,From Data Source,10024714134,Potential,Potential,Unknown,Cooling Towers
Forthside Way,279952.4,693445,From Data Source,10025416727,Potential,Potential,Unknown,Cooling Towers
Thistle Industrial Estate,280411,692485.4,From Data Source,10015368583,Potential,Potential,Unknown,Cooling Towers
Norbord,283654.4,688726.3,From Data Source,10015322274,Potential,Potential,Unknown,Cooling Towers
Glenlivet Distillery,82467.3,866772.4,From Data Source,10025448489,Potential,Potential,Unknown,Water Source Heat Pump
Glenkinchie Distillery,116757.7,920373.8,From Data Source,10024676551,Potential,Potential,Unknown,Water Source Heat Pump
Glentauchers Distillery,147941.7,827109,From Data Source,10024686717,Potential,Potential,Unknown,Water Source Heat Pump
Ben Nevis Distillery,181392,819435,From Data Source,130092046,Potential,Potential,Unknown,Water Source Heat Pump
Tobermory Distillery,186461,668328,From Data Source,125029934,Potential,Potential,Unknown,Water Source Heat Pump
Glenmorangie Distillery,187972.7,863117.3,From Data Source,10025416825,Potential,Potential,Unknown,Water Source Heat Pump
Teaninich Distillery,192275.5,792324.4,From Data Source,10024956611,Potential,Potential,Unknown,Water Source Heat Pump
Bunnahabhain Distillery,200232,731147,From Data Source,125078715,Potential,Potential,Unknown,Water Source Heat Pump
Edradour Distillery,200941.1,913724.8,From Data Source,10024718120,Potential,Potential,Unknown,Water Source Heat Pump
Benromach Distillery,206806.1,930753.4,From Data Source,10024718201,Potential,Potential,Unknown,Water Source Heat Pump
Knockdhu Distillery,207594.8,681161.6,From Data Source,10024708615,Potential,Potential,Unknown,Water Source Heat Pump
Strath of Brydock,365391,859727,From Data Source,,Operational,Actual,Large (1MW+),Wind
Loch Lomond Distillery,210204.4,913518.7,From Data Source,10025416201,Potential,Potential,Unknown,Water Source Heat Pump
Oban Distillery,210584,664269,From Data Source,125074571,Potential,Potential,Unknown,Water Source Heat Pump
Dufftown Distillery,211046.7,851520.8,From Data Source,10025412406,Potential,Potential,Unknown,Water Source Heat Pump
Laphroaig Distillery,216540.2,727727.7,From Data Source,10024708743,Potential,Potential,Unknown,Water Source Heat Pump
Cardhu Distillery,217675,806812.6,From Data Source,10025435230,Potential,Potential,Unknown,Water Source Heat Pump
Caol Ila Distillery,218180,678989,From Data Source,125005036,Potential,Potential,Unknown,Water Source Heat Pump
Girvan Distillery,218378,596921,From Data Source,141049271,Potential,Potential,Unknown,Water Source Heat Pump
Balvenie Distillery,228652.7,750497.4,From Data Source,10025433591,Potential,Potential,Unknown,Water Source Heat Pump
Tormore Distillery,230465.7,818683.3,From Data Source,10025018465,Potential,Potential,Unknown,Water Source Heat Pump
Miltonduff Distillery,230882.1,808961.7,From Data Source,10025435593,Potential,Potential,Unknown,Water Source Heat Pump
